file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.08.bin,1.0,1.0,0.5,True,0.028637827019079756,0.0,0.08,2582756.29681712,ST,0.04279913314576135
orbit_a0.09.bin,1.0,1.0,0.5,True,0.028637827019079756,0.0,0.09,2582756.29681712,ST,0.045801564634699365
orbit_a0.10.bin,1.0,1.0,0.5,True,0.028637827019079756,0.0,0.1,2582756.29681712,ST,0.04774820962516725
orbit_a0.11.bin,1.0,1.0,0.5,True,0.028637827019079756,0.0,0.11,2582756.29681712,ST,0.0457100590373583
orbit_a0.12.bin,1.0,1.0,0.5,True,0.028637827019079756,0.0,0.12,2582756.29681712,ST,0.05202012929299416
orbit_a0.13.bin,1.0,1.0,0.5,True,0.028637827019079756,0.0,0.13,2582756.29681712,ST,0.027923301465853312
orbit_a0.14.bin,1.0,1.0,0.5,True,0.028637827019079756,0.0,0.14,126544.50224077216,CA,
orbit_a0.15.bin,1.0,1.0,0.5,True,0.028637827019079756,0.0,0.15,5836.072384310304,CA,
orbit_a0.16.bin,1.0,1.0,0.5,True,0.028637827019079756,0.0,0.16,2848.443474584739,CA,
orbit_a0.17.bin,1.0,1.0,0.5,True,0.028637827019079756,0.0,0.17,24336.436165654854,CA,
