file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.08.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.08,2582756.29681712,ST,0.04241721598853518
orbit_p0.09.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.09,2582756.29681712,ST,0.04625456168439006
orbit_p0.10.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.1,2582756.29681712,ST,0.05159196634538192
orbit_p0.11.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.11,2582756.29681712,ST,0.06843485025509274
orbit_p0.12.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.12,2582756.29681712,ST,0.06069018837844415
orbit_p0.13.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.13,55842.140788412566,CA,
orbit_p0.14.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.14,19553.040519270067,CA,
orbit_p0.15.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.15,4189.187490918379,CB,
orbit_p0.16.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.16,6822.7357577767525,EJ,
orbit_p0.17.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.17,485.81622926995016,CA,
