file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.08.bin,1.0,1.0,0.5,False,0.000954594233969325,0.7853981633974483,0.08,2582756.29681712,ST,0.045218858302812956
orbit_p0.09.bin,1.0,1.0,0.5,False,0.000954594233969325,0.7853981633974483,0.09,2582756.29681712,ST,0.049605098742619404
orbit_p0.10.bin,1.0,1.0,0.5,False,0.000954594233969325,0.7853981633974483,0.1,2582756.29681712,ST,0.05440393771029803
orbit_p0.11.bin,1.0,1.0,0.5,False,0.000954594233969325,0.7853981633974483,0.11,2582756.29681712,ST,0.06119329400572949
orbit_p0.12.bin,1.0,1.0,0.5,False,0.000954594233969325,0.7853981633974483,0.12,2582756.29681712,ST,0.07685911312620146
orbit_p0.13.bin,1.0,1.0,0.5,False,0.000954594233969325,0.7853981633974483,0.13,191935.41055235086,CA,
orbit_p0.14.bin,1.0,1.0,0.5,False,0.000954594233969325,0.7853981633974483,0.14,9036.046912978703,CA,
orbit_p0.15.bin,1.0,1.0,0.5,False,0.000954594233969325,0.7853981633974483,0.15,3628.612330305535,CA,
orbit_p0.16.bin,1.0,1.0,0.5,False,0.000954594233969325,0.7853981633974483,0.16,1843.8253674908483,CA,
orbit_p0.17.bin,1.0,1.0,0.5,False,0.000954594233969325,0.7853981633974483,0.17,1797.4252921866964,CA,
