file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.08.bin,1.0,1.0,0.5,False,0.0,0.7853981633974483,0.08,2582756.29681712,ST,0.045257651345047396
orbit_p0.09.bin,1.0,1.0,0.5,False,0.0,0.7853981633974483,0.09,2582756.29681712,ST,0.049476595999484944
orbit_p0.10.bin,1.0,1.0,0.5,False,0.0,0.7853981633974483,0.1,2582756.29681712,ST,0.05455730267973906
orbit_p0.11.bin,1.0,1.0,0.5,False,0.0,0.7853981633974483,0.11,2582756.29681712,ST,0.0611925266212685
orbit_p0.12.bin,1.0,1.0,0.5,False,0.0,0.7853981633974483,0.12,2582756.29681712,ST,0.07270179800648449
orbit_p0.13.bin,1.0,1.0,0.5,False,0.0,0.7853981633974483,0.13,498977.10289388505,CA,
orbit_p0.14.bin,1.0,1.0,0.5,False,0.0,0.7853981633974483,0.14,37696.64113853361,CA,
orbit_p0.15.bin,1.0,1.0,0.5,False,0.0,0.7853981633974483,0.15,14773.217908437458,CA,
orbit_p0.16.bin,1.0,1.0,0.5,False,0.0,0.7853981633974483,0.16,5165.888779909736,CA,
orbit_p0.17.bin,1.0,1.0,0.5,False,0.0,0.7853981633974483,0.17,2321.258849196884,CA,
