file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.08.bin,1.0,1.0,0.5,True,0.0,2.3561944901923453,0.08,2582756.29681712,ST,0.04478070610328075
orbit_a0.09.bin,1.0,1.0,0.5,True,0.0,2.3561944901923453,0.09,2582756.29681712,ST,0.047511745491899335
orbit_a0.10.bin,1.0,1.0,0.5,True,0.0,2.3561944901923453,0.1,2582756.29681712,ST,0.0487858416442304
orbit_a0.11.bin,1.0,1.0,0.5,True,0.0,2.3561944901923453,0.11,2582756.29681712,ST,0.05010875513008099
orbit_a0.12.bin,1.0,1.0,0.5,True,0.0,2.3561944901923453,0.12,2582756.29681712,ST,0.05170175777950183
orbit_a0.13.bin,1.0,1.0,0.5,True,0.0,2.3561944901923453,0.13,2582756.29681712,ST,0.06596967049252384
orbit_a0.14.bin,1.0,1.0,0.5,True,0.0,2.3561944901923453,0.14,39895.14818956863,CA,
orbit_a0.15.bin,1.0,1.0,0.5,True,0.0,2.3561944901923453,0.15,4804.493405038582,CA,
orbit_a0.16.bin,1.0,1.0,0.5,True,0.0,2.3561944901923453,0.16,3748.5723681532318,CA,
orbit_a0.17.bin,1.0,1.0,0.5,True,0.0,2.3561944901923453,0.17,2222.8084970340337,CA,
